guc,spa
sotsoluu,dar calambre
surulaalü,soldado
surulaalü,asurulaatse
susu,mochila fina
susu,asusia
sutta,huso
sutta,-in
suukala,azúcar
suukala,-in
süchi,río
süi,chinchorro  hamaca
süi,o'ula
süinmaraalü,siimaraalü
sütaa ,dar comezón
süttaa,estar cerrado  -da
süttaa,asürülaa
"süttiija, süttiiya, sittiija, sittiiya",anillo  sortija
"süttiija, süttiiya, sittiija, sittiiya",-se
shaakuma,cabestro
shaakuma,-in
sha’wataa,estar parado  -da; estar de pie
sha’wataa,asha'walawaa
shale,último hijo  última hija
"shia, jia ",pron ella  la  lo
shiale ,o ella
shiale ,Es la forma de tercera persona singular no masculino
shiale ,La palabra se compone uniendo cualquiera de los pronombres personales con -le según el contexto
shiatapünaa ,medio  -dia
shiatapünaa ,— n
shiatapünaa ,mitad
"shiimüin, shiimain ",verdadero  -ra
"shiimüin, shiimain ",— n
"shiimüin, shiimain ",verdad
shitaa,estar hinchado  -da
shokotaa,ser curvo  -va
shokotaa,estar torcido  -da
"shokulaa, shukulaa",ser perezoso  -sa
shottaa ,gotear
shunui,gripe  catarro
shunulii,tener gripe  tener catarro
taapüla,tabla
taapüla,-se
taashii,estar libre; estar suelto  -ta; estar disponible
taata,papá  abuelo
taataai,rana
talataa,estar alegre; estar contento  -ta; estar feliz
talataa,estar complacido  -da
taya ,pron yo  me
"teitei, teuteu",alcaraván
tepichi,muchacho  -cha; niño  -ña
toleeka,saco  costal  pos
toleeka,-in
toolo ,macho
toolo ,— n
toolo ,hombre  varón
toolo ,tooloyuu
toolo aa'in ,ser valiente  ser macho
toolo aa'in ,Normalmente al formar este predicado nominal  el adjetivo toolo queda invariable y en vez de añadirle el prefijo personal al nombre aa'in  se le añade un sufijo de género-número que concuerda con el sujeto  que suele ser masculino singular
toolo aa'in ,Por ejemplo  toolo aa'inchi nia equivale a ‘él es valiente’
toolü,ave aguaitacamino  ave chotacabras
toomasü,paloma (doméstica)
toomasü,mo’uwa
tottoolu,médico  -ca
tu'uma,piedra preciosa
tu'uma,-in
tuttaa,tener fiebre
tuttaa,tener calor
tü ,esta
tüitüi,halcón
tüntaa aa'in ,pulsar (corazón)
tüntaa aa'in ,palpitar (corazón)  gram
tüntaa aa'in ,El sujeto del verbo tüntaa es el mismo aa'in  ‘corazón’  así como ‘corazón’ sería el sujeto de los verbos ‘pulsar’ y ‘palpitar'
tüntaa aa'in ,Por ejemplo  tüntüsü taa'in (literamente  ‘pulsa mi-corazón') equivale a ‘me pulsa el corazón’
türa ,esa
türa ,— pron
türa ,ésa  eso
türiiya,junco
türiiya,silla de junco (para montar o cargar)
türiiya,-se
tüsa ,aquella
tüsa ,— pron
tüsa ,aquélla  aquello
tütaa,ser trabajador  -dora; ser diligente
tüü ,pron ésta  esto
tüü ,— adj
tüü ,esta
tüü ,Esta forma del adjetivo se usa después del nombre
"ulee, wulee",estar limpio  -pia
"ulee, wulee",ser puro  -ra
uliyuuna ,wuliyuuna
ului,ave turpial común
una’ainküin ,wuna'ainküin
una’apü ,wuna'apü
unapümüin ,hacia abajo
"uraichi, wuraichi",especie de árbol que florece de amarillo en la primavera  cuya madera se usa para fabricar arcos
"uraichi, wuraichi",arco
"uraichi, wuraichi",o'uraichin
utia ,wutia
uuchi,serranía  montaña  cerro
uuchipünaa ,por el sur
uujolu,chicha de maíz sin alcohol
uujolu,o'uujain
uwatua ,una vez
"uwomuyuwaa, uwonyuwaa",herir  perjudicar
"uwomuyuwaa, uwonyuwaa",asesinar
uwon,sombrero
uwon,akuoma
üttaa aa’in,sentir rabia
waana,millo  mijo
waana,-in
waapünaa ,por el occidente
waataa ekii ,dolerle la cabeza
waawataa ,soplar (el viento)
waawataa ,moverse por el viento
"wainma, mainma ",mucho  -cha
wainpirai,ave paraulata llanera  sinsonte
wairiina,guaireña (calzado)  cotiza (calzado)
wairiina,-se
wa'lee,amigo (para llamar o saludar un hombre a otro)
walaashi,pago
walaashi,walawaa
wala'ayuu,pelusa de la tuna
walashi,pelo
walashi,a'wala
walatshi,calor atmosférico
walawaa,estar pagado  -da
walawaa,awalaajaa
walekerü,araña
walirü,zorro  -rra
waluuseechi,buitre  cataneja  oripopo
waluuseechi,samulu
wanaa amaa ,rel cuando
wanaa amaa ,El prefijo personal que corresponde al referente se le añade a la palabra amaa
wanaawaa,ser lo mismo  ser igual
wane ,un  una
waneepia ,siempre (continuamente)  continuamente
waneepiaa,ser entero  -ra; ser completo  -ta
waneepiaa,— v_i
waneepiaa,perseverar
"waneeshia, -sia ",un  una
"waneeshia, -sia ",— pron
"waneeshia, -sia ",uno  una
wane'e ,wane'eya
wane'ere'eya ,no hasta que
"wane'ewai akua, wane'ewaire akua ",cada uno  una
"wane'ewai akua, wane'ewaire akua ",El prefijo personal que corresponde al referente se le añade a akua
"wane'eya, wane'e ",pron
"wane'eya, wane'e ",otro  otra
wanülüü,demonio  espíritu maligno
wanülüü,enfermedad
wanülüü,-se
waraittaa ,andar  caminar
waratshii,luz
waratshii,awarala
warulapai,gavilán
warutta,caracol
warutta,-in
washirü ,rico  -ca
washirü ,— n
washirü ,rico  -ca
washirü ,washinnuu
wattaa,estar lejos
wattaa aalin,ser mucho  -cha
wattaa aalin,El prefijo personal que corresponde al sujeto se le añade a aalin
watta'a ,mañana
watta'a maalü ,por la mañana
watta'apa ,esta mañana (ya pasada)
wattapia ,pasado mañana
wawaachi,tortolita
wawai,viento (de tempestad)
waya ,pron nosotros  -tras; nos
wayeeta,olla
wayeeta,awayeetse  awayeetain
wayunkeera,muñeca (figura de persona)
wayunkeera,-se  -in
wayuu,persona
wayuu,gente  pueblo
wayuu,indígena wayuu
wayuu,a'wayuuse
wayuunaiki,idioma de los wayuu
weinshi,meinshi
wentaana,pentaana
wiinnaa ,por el oriente
wo’olu,mochila para el cinturón del hombre
wo’olu,awo'olüin
woola,balón
woola,-in
woowira,bóveda
woowira,-se
wopu,camino  sendero
wopu,apüna
wotoo,estar lleno  -na (de sólidos)
wotshonoi,potshonoi
wuchii,pájaro
wuchii,insecto
wuchii,-se
wulee,ulee
"wuliyuuna, uliyuuna",lombriz
"wuliyuuna, uliyuuna",-se
"wuna’ainküin, unaainküin ",por el bosque  por el monte
"wuna’apü, una’apü",selva  bosque  monte
wunu’u,árbol  mata
wunu’u,palo  madera
wunu’u,medicina
wunu’u,anu'use
wunyaasüü,miyaasüü
wuraichi,uraichi
wushu,olla de barro cocido
wushu,otse
"wutia, utia",aguja
"wutia, utia",o'utiain
wüi,culebra
wüin,agua
wüin,ainya
wüinsiraa,ahogarse (en agua)
wüirü,auyama  calabaza
wüirü,-in
wüitshii,hierba
wüittaa,ser azul  ser verde
wüittüsü ,azul  verde (color de mata)
yaajeeru’u ,en este lado
yaaulerü ,un rato
yaawala ,al instante  inmediatamente
yaawe,llave
yaawe,-in
yaaya ,aquí
yajaaushi,mazamorra con leche
yajaaushi,-in
yala ,allí
yalayalaa,ser áspero  -ra
yalayalaa,ser valiente
yalayalaa,ser hábil; ser listo  -ta; ser inteligente
yalejeeru'u ,en el otro lado
yaletaa,ser alto  -ta
yaletaa,ser importante
yaletaa aa’in,ser altivo  -va
yapaa,estar listo  -ta; estar preparado  -da
yapaa,— v
yapaa,i alistarse  prepararse
"yarüttaa, yerüttaa",estar sucio  -cia
yokutaa,estar apagado  -da
yokutaa,oyokojowaa
yolujaa,diablo  demonio
yolujaa,espíritu
yolujaa,-se
yonna,baile
yonna,-in
yooi,llaga  infección
yooi,-se
yootchon ,pron
yootchon ,poquito  -ta (de líquidos)
yootchon ,palitchon
yootoo ,conversar  charlar
yosu,cardón (especie de cactus)
yosu,-in
yuulii,ser negro  -gra
yüi,tabaco
yüi,-se
yülaa,estar roto  -ta; estar quebrado  -da; estar partido  -da
yüüja,huerta  roza
yüüja,-se  -in
yüüja,apain
yüütüwaa,estar deshabitado  -da; ser solitario  -ria
